Sources,Authentication Service operational,Authentication Service degraded,Authentication Service unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
Authentication Service operational,0.10169491513172857,0.07796610149054867,0.006779660988471708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813559326105072,0.12542372873818133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033898304831862644,0.0,0.003389830557376368
Authentication Service degraded,0.19736842065227253,0.10526315725558125,0.052631579497841974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578927406901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210524838831,0.18421052776759503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894526746308,0.0,0.013157894667670115,0.039473683874340776,0.0
Authentication Service unresponsive,0.23076923337583186,0.15384615230037882,0.2307692299729224,0.0,0.0,0.0,0.07692307631137985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307666958084,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230795351888,0.0,0.07692307588153867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307595317886,0.0,0.0
Availability Item Filter operational,0.0,0.0,0.0,0.13944954110585522,0.04220183470608984,0.011009174363171656,0.0,0.0,0.0,0.0,0.0,0.0018348623689412311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6807339451529468,0.12293577993319964,0.0018348623697956555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter degraded,0.0,0.0,0.0,0.21904761833892702,0.07619047589422694,0.03809523769876077,0.0,0.0,0.0,0.009523809365928174,0.0,0.00952380969854338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857154059621,0.09523809503409128,0.02857142890049589,0.0,0.0,0.0,0.0,0.009523809663064424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter unresponsive,0.0,0.0,0.0,0.42105263064633486,0.1052631577167278,0.15789473966316134,0.0,0.0,0.0,0.052631578123109236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578392702605,0.0,0.15789473674665117,0.0,0.0,0.0,0.0,0.05263157871131296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service operational,0.16535433035678102,0.007874015674006104,0.0,0.0,0.0,0.0,0.13385826819241708,0.07874015737438704,0.007874015611673493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11811023622107872,0.05511811130569108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2047244087048117,0.031496063147019214,0.0,0.14173228356209341,0.055118109850041216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service degraded,0.294117648179472,0.0,0.0,0.0,0.0,0.0,0.32352941300015853,0.058823528655266535,0.029411764450896546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352977833199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529279115691,0.029411764546767985,0.0,0.058823529531805425,0.05882352906614414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service unresponsive,0.12499999705323718,0.0,0.0,0.0,0.0,0.0,0.2500000063882908,0.12499999606370696,0.37499999756255425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12500000293221092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter operational,0.0,0.0,0.0,0.7205323189188017,0.10456273789039747,0.0,0.0,0.0,0.0,0.13878327010502864,0.02851711039442718,0.007604562691345088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter degraded,0.0,0.0,0.0,0.561224488656202,0.1428571417927743,0.0,0.0,0.0,0.0,0.21428571557341036,0.07142857243116872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081546444633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter unresponsive,0.0,0.0,0.0,0.07692307822913283,0.07692307625902738,0.2307692307471876,0.0,0.0,0.0,0.23076922995914542,0.07692307529188472,0.15384615380757835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230756859058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692308002013784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11509433967942592,0.07547169786030151,0.015094339568370155,0.0,0.0,0.001886792477785918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867924530419097,0.10566037737220667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2781456955222091,0.07947019913695086,0.026490066124052046,0.013245032927878568,0.01986754975879596,0.00662251649169393,0.0,0.006622516497861629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4569536429813109,0.10596026408605623,0.006622516473190833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Category Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31250000105228537,0.09374999906276568,0.3125000010377335,0.031249999978626868,0.0,0.031250000909949456,0.0,0.0,0.031249999512965587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06249999960800777,0.031249999425654096,0.09374999941201165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6339622643421233,0.13018867943402457,0.0,0.1452830182721673,0.07358490586435353,0.015094339605165602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867924821656973,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49655172426667676,0.16551724114068816,0.02068965547898616,0.17241379302803453,0.08275862049969207,0.04137931050515686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551649698576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551620795463,0.0,0.006896551810271434,0.0,0.0,0.0,0.0,0.0,0.0
Comment Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12500000082800403,0.0,0.049999999022693385,0.2749999988274067,0.07499999938387192,0.4250000028687645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999418214434,0.0,0.024999999651045074,0.0,0.0,0.0,0.0,0.0,0.0
Future Sales Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14311594186626106,0.06702898552261116,0.01630434769332246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018115941959267075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6539855075825632,0.11775362313931531,0.0
Future Sales Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17322834601127032,0.08661417279297091,0.047244094081713366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015748031518235967,0.023622047662349505,0.031496062809141225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46456692914996817,0.11811023659576733,0.03937007937858319
Future Sales Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333305911067,0.13333333313982518,0.2000000005867332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333331398252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666640693114,0.10000000050291417,0.033333333164660466
Inventory Service operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513516634362,0.060810810397893544,0.020270270262680728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3310810804820184,0.05405405384818003,0.0,0.31756756822896226,0.074324324881719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00675675673220239,0.0,0.0
Inventory Service degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06250000244290278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249999997766281,0.031250000035470286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2812499973942977,0.0,0.0,0.28125000177442416,0.06250000106047082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031249999526153253,0.0,0.0
Inventory Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667296602916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333326607114,0.0,0.0,0.0,0.0,0.0,0.16666666341997272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666543783823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666551544845
Item Management Service operational,0.21481481451528414,0.037037036859076486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10370370341720385,0.06666666619594631,0.022222222073363915,0.0,0.0,0.0,0.0,0.0,0.0,0.19259259290413216,0.05925925916009705,0.0,0.25185185269890825,0.05185185217598789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item Management Service degraded,0.07692307641057396,0.07692307626729357,0.03846153856348797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923083467134,0.03846153790081614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769360548208,0.11538461440094035,0.0,0.07692307757472719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153850975782,0.038461538420207574
